lookback,entry,exit,stop_loss,top_n,rebal,tc,ann_ret,ann_vol,sharpe,max_dd,win_rate,n_trades
60,1.5,0.5,3.0,10,2x/Month,0% (no cost),0.06357404549805881,0.16263437976947526,0.39090163831393654,-0.2407877758968997,0.4883815735833673,1012
20,2.5,0.0,4.0,10,Daily,0% (no cost),0.06552141152965758,0.16814279288452869,0.38967719285270896,-0.3428246629894317,0.5083096878800162,1388
20,1.0,0.5,3.0,10,Monthly,0% (no cost),0.0732605146395586,0.18830182724382158,0.38905896831631714,-0.4444496491503167,0.5086705202312138,1021
20,2.5,0.0,3.0,5,Daily,0% (no cost),0.06447487995481163,0.16611788582126807,0.38812726056592345,-0.3302319738422812,0.5087221095334685,1382
60,2.0,0.5,4.0,5,Daily,0% (no cost),0.06208949083260121,0.1601443437017916,0.38770954625921383,-0.3259094549813534,0.4930725346373268,1302
60,2.0,0.5,4.0,3,Daily,0% (no cost),0.06102246664648471,0.16050632614307223,0.3801872992351122,-0.32774103835478874,0.493480032599837,1306
60,2.0,0.5,4.0,10,Daily,0% (no cost),0.06090419846173498,0.16046657350217106,0.3795444567208321,-0.3279047945886233,0.49225753871230643,1298
20,2.5,0.0,3.0,3,Daily,0% (no cost),0.06288726604048085,0.1663169078599235,0.3781170949465112,-0.3367361057001871,0.5070993914807302,1370
60,2.0,0.5,4.0,3,Monthly,0% (no cost),0.07699361233530042,0.20368664905826042,0.378000289617794,-0.4616509705028693,0.5023002927645337,366
20,2.5,0.0,4.0,5,Daily,0% (no cost),0.06358635143175341,0.1692256901581922,0.37574880842449443,-0.3538646147459712,0.5091277890466531,1385
60,1.0,0.5,3.0,5,Monthly,0% (no cost),0.06025020925216817,0.16262140141284656,0.37049372793935714,-0.23632207746775735,0.49795918367346936,728
60,1.0,0.5,3.0,3,2x/Month,0% (no cost),0.05560187455879184,0.1502421713558905,0.37008167585040613,-0.23939803617831967,0.5018344883815736,962
60,2.5,0.5,3.0,10,Monthly,0% (no cost),0.0918535674517942,0.24829203897789895,0.36994165350573444,-0.3039169886341522,0.5172991071428571,198
60,2.5,0.5,4.0,10,Daily,0% (no cost),0.06326693012317254,0.17130591130384687,0.36932134823389373,-0.34146096803118386,0.49592169657422513,928
60,2.5,0.5,3.0,10,Daily,0% (no cost),0.06338123385532758,0.17245192709171975,0.3675298671589668,-0.37259954616309254,0.49775601795185637,937
