date,series_id,series_group,return
2018-05-01,buy_hold_start,baseline,0.008621782399225841
2018-06-01,momentum,strategy,-0.057150977802709946
2018-06-01,mean_reversion,strategy,-0.01836403803143205
2018-06-01,ew_dow30,baseline,-0.0012798424726446767
2018-06-01,t_bill,baseline,0.0014959632659390376
2018-06-01,dia,baseline,-0.004452825661204862
2018-06-01,buy_hold_start,baseline,-0.0025642854405867332
2018-07-01,momentum,strategy,0.018161101853878446
2018-07-01,mean_reversion,strategy,0.05418463031413823
2018-07-01,ew_dow30,baseline,0.048587825943405605
2018-07-01,t_bill,baseline,0.0015615190697249037
2018-07-01,dia,baseline,0.04846031543520035
2018-07-01,buy_hold_start,baseline,0.04289024118100415
2018-08-01,momentum,strategy,0.047817499490581034
2018-08-01,mean_reversion,strategy,-0.05622010172775116
2018-08-01,ew_dow30,baseline,0.023298754637918195
2018-08-01,t_bill,baseline,0.0016024674913337478
2018-08-01,dia,baseline,0.024500333887925052
2018-08-01,buy_hold_start,baseline,0.02229119809191782
2018-09-01,momentum,strategy,0.030325772078198646
2018-09-01,mean_reversion,strategy,-0.016043312990691838
2018-09-01,ew_dow30,baseline,0.023790480269476832
2018-09-01,t_bill,baseline,0.0016843091316891545
2018-09-01,dia,baseline,0.019595365873048998
2018-09-01,buy_hold_start,baseline,0.0225998251817765
2018-10-01,momentum,strategy,-0.07049501351249839
2018-10-01,mean_reversion,strategy,0.018930311373910547
2018-10-01,ew_dow30,baseline,-0.03688521738731265
2018-10-01,t_bill,baseline,0.0017905934192183892
2018-10-01,dia,baseline,-0.049381793674865504
2018-10-01,buy_hold_start,baseline,-0.04369352076808841
2018-11-01,momentum,strategy,0.03519144374131771
2018-11-01,mean_reversion,strategy,-0.002514287958429229
2018-11-01,ew_dow30,baseline,0.04207718962724072
2018-11-01,t_bill,baseline,0.0018477720842475787
2018-11-01,dia,baseline,0.019618261331589615
2018-11-01,buy_hold_start,baseline,0.039434893678655936
2018-12-01,momentum,strategy,-0.08156660193648672
2018-12-01,mean_reversion,strategy,0.02077751293815111
2018-12-01,ew_dow30,baseline,-0.0816428214438274
2018-12-01,t_bill,baseline,0.0019538658918774043
2018-12-01,dia,baseline,-0.08485235274123648
2018-12-01,buy_hold_start,baseline,-0.07531123218911973
2019-01-01,momentum,strategy,0.07754622800449931
2019-01-01,mean_reversion,strategy,0.08901169811061682
2019-01-01,ew_dow30,baseline,0.06023015438395385
2019-01-01,t_bill,baseline,0.001978331538841749
2019-01-01,dia,baseline,0.07332149288635637
2019-01-01,buy_hold_start,baseline,0.057233585403888565
2019-02-01,momentum,strategy,0.06303121928062999
2019-02-01,mean_reversion,strategy,0.041837248225066404
2019-02-01,ew_dow30,baseline,0.041007432563032964
2019-02-01,t_bill,baseline,0.002002790616328909
2019-02-01,dia,baseline,0.039465877050508524
2019-02-01,buy_hold_start,baseline,0.04344704698523438
2019-03-01,momentum,strategy,0.022244611074083025
2019-03-01,mean_reversion,strategy,-0.02094751944301454
2019-03-01,ew_dow30,baseline,0.008432976444789686
2019-03-01,t_bill,baseline,0.0020190930200916224
2019-03-01,dia,baseline,0.0015406866172968936
2019-03-01,buy_hold_start,baseline,0.0074494766250021716
2019-04-01,momentum,strategy,-0.023101222962159045
2019-04-01,mean_reversion,strategy,0.012612928347240704
2019-04-01,ew_dow30,baseline,0.024335329009862905
2019-04-01,t_bill,baseline,0.0020027906163280207
2019-04-01,dia,baseline,0.02631462365949422
